Stock lable_2017,Stock code_pre 2017,Full name_2017,New advice in 2017,Species Common Name,Book Number 2015,Section number 2016,Alphabet,Placeholder,Superheaders
alf.27.nea,alf-comb,"Alfonsinos (Beryx spp.) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",,Alfonsinos,9,9.3.1,Alfonsinos,Placeholder,
bsf.27.nea,bsf-nea,"Black scabbardfish (Aphanopus carbo) in subareas 1, 2, 4, 6?8, 10, and 14, and in divisions 3.a, 5.a?b, 9.a, and 12.b (Northeast Atlantic and Arctic Ocean) ",,Black scabbardfish,9,9.3.2,black scabbardfish,Placeholder,
ank.27.78ab,anb-78ab,"Black-bellied anglerfish (Lophius  budegassa) in divisions 7.b?k, 8.a?b, and 8.d  (west and southwest of Ireland, Bay of Biscay)",,Black-bellied anglerfish,5,5.3.1,anglerfish black,Placeholder,add anglerfish superheader
ane.27.8,ane-bisc,Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay),x,Anchovy,7,7.3.2,anchovy,,
ane.27.9a,ane-pore,Anchovy (Engraulis encrasicolus) in Division 9.a (Atlantic Iberian waters),x,Anchovy,7,7.3.1,anchovy,,
ank.27.8c9a,anb-8c9a,"Black-bellied anglerfish (Lophius budegassa) in divisions 8.c and 9.a (Cantabrian Sea, Atlantic Iberian waters)",x,Black-bellied anglerfish,7,7.3.3,anglerfish black,,add anglerfish superheader above
,ang-78ab,,,,,,,,
anf.27.1-2,ang-arct,"Anglerfish (Lophius budegassa, Lophius piscatorius) in subareas 1 and 2 (Northeast Arctic)",,Anglerfish,3,3.3.1,anglerfish white and black,Placeholder,
mon.27.78ab,anp-78ab,"White anglerfish (Lophius piscatorius) in divisions 7.b?k, 8.a?b, and 8.d (southern Celtic Seas, Bay of Biscay)",,White anglerfish,5,5.3.2,anglerfish white,Placeholder,
anf.27.3a46,ang-ivvi,"Anglerfish (Lophius budegassa, Lophius piscatorius) in subareas 4 and 6, and in Division 3.a (North Sea, Rockall and West of Scotland, Skagerrak and Kattegat)",,Anglerfish,5,5.3.3,anglerfish white and black,Placeholder,
mon.27.8c9a,anp-8c9a,White anglerfish (Lophius piscatorius) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters),x,White anglerfish,7,7.3.4,anglerfish white,,
bli.27.5a14,bli-5a14,Blue ling (Molva dypterygia) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds),x,Blue ling,9,9.3.3,blue ling,,
bli.27.5b67,bli-5b67,"Blue ling (Molva dypterygia) in subareas 6?7 and Division 5.b (Celtic Seas, English Channel, and Faroes grounds)",,Blue ling,9,9.3.5,blue ling,Placeholder,
,arg-comb,,,,,,,,
